,code_athlete,name,country_code,discipline
0,1532872,ALEKSANYAN Artur,ARM,Wrestling
1,1532873,AMOYAN Malkhas,ARM,Wrestling
2,1532874,GALSTYAN Slavik,ARM,Wrestling
3,1532944,HARUTYUNYAN Arsen,ARM,Wrestling
4,1532945,TEVANYAN Vazgen,ARM,Wrestling
5,1532951,ARENAS Lorena,COL,Athletics
6,1533112,McKENZIE Ashley,JAM,Judo
7,1533136,BASS BITTAYE Gina Mariam,GAM,Athletics
8,1533176,CAMARA Ebrahima,GAM,Athletics
9,1533188,RUEDA SANTOS Lizeth,MEX,Triathlon
10,1533189,TAPIA VIDAL Rosa Maria,MEX,Triathlon
11,1533190,GRAJALES Crisanto,MEX,Triathlon
12,1533208,MAAROUFOU Hachim,COM,Athletics
13,1533209,SAADI Maesha,COM,Swimming
14,1533230,DIOSDADO Nuria,MEX,Artistic Swimming
15,1533231,JIMENEZ Joana,MEX,Artistic Swimming
16,1533232,SOBRINO Jessica,MEX,Artistic Swimming
17,1533234,ALFEREZ Regina,MEX,Artistic Swimming
18,1533235,ARELLANO Fernanda,MEX,Artistic Swimming
19,1533237,TOSCANO Pamela,MEX,Artistic Swimming
20,1533239,GONZALEZ Itzamary,MEX,Artistic Swimming
21,1533240,RODRIGUEZ Samanta,MEX,Artistic Swimming
22,1533243,INZUNZA Glenda,MEX,Artistic Swimming
23,1533245,SEHEN Sajjad,IRQ,Judo
24,1533359,RUBAIAWI Ali Ammar Yusur,IRQ,Weightlifting
25,1533364,ISMAIL Mohamed,DJI,Athletics
26,1533371,HASSAN Ibrahim,DJI,Athletics
27,1533372,WAISS Abdi,DJI,Athletics
28,1533374,HASSAN NOUR Samiyah,DJI,Athletics
29,1533378,HOUSSEIN BARKAT Houmed,DJI,Swimming
30,1535180,BARAT Andy,COM,Canoe Slalom
31,1535186,MARTINEZ RAMIREZ Miguel Angel,MEX,Boxing
32,1535187,VERDE ALVAREZ Marco Alonso,MEX,Boxing
33,1535191,GONZALEZ Alegna,MEX,Athletics
34,1535195,LOPEZ Jesus Tonatiu,MEX,Athletics
35,1535199,PORTILLO Erick,MEX,Athletics
36,1535201,MUNOZ Uziel,MEX,Athletics
37,1535202,del REAL Diego,MEX,Athletics
38,1535203,DOCTOR Jose Luis,MEX,Athletics
39,1535212,MORAN Paola,MEX,Athletics
40,1535214,GALVAN Laura,MEX,Athletics
41,1535216,CORTES Alma Delia,MEX,Athletics
42,1535217,CRISTIAN MOSCOTE Citlali,MEX,Athletics
43,1535222,PALMA OLIVARES Ever Jair,MEX,Athletics
44,1535225,OETLING RAMIREZ Elena,MEX,Sailing
45,1535226,AGUILAR CHAVEZ PEON Mariana,MEX,Sailing
46,1535252,LECHUGA ALANIS Kenia,MEX,Rowing
47,1535260,LOPEZ GARCIA Alexis,MEX,Rowing
48,1535267,CARBALLO NIETO Miguel,MEX,Rowing
49,1535310,BLANCO Luisa,COL,Artistic Gymnastics
50,1535343,WILLARS VALDEZ Randal,MEX,Diving
51,1535345,BERLIN REYES Kevin,MEX,Diving
52,1535346,OROZCO LOZA Alejandra,MEX,Diving
53,1535348,AGUNDEZ GARCIA Gabriela,MEX,Diving
54,1535349,OLVERA IBARRA Osmar,MEX,Diving
55,1535350,GARZA PEREZ Eugenio,MEX,Equestrian
56,1535351,FERNANDEZ Federico,MEX,Equestrian
57,1535354,de LARA OJEDA Miguel Alejandro,MEX,Swimming
58,1535356,MORENO Alexa,MEX,Artistic Gymnastics
59,1535357,SANDOVAL Ahtziri,MEX,Artistic Gymnastics
60,1535358,FLORES Sofia,MEX,Rhythmic Gymnastics
61,1535359,SALAZAR Kimberly,MEX,Rhythmic Gymnastics
62,1535360,TEJEDA Adirem,MEX,Rhythmic Gymnastics
63,1535361,ALCOCER Dalia,MEX,Rhythmic Gymnastics
64,1535362,GUTIERREZ Julia,MEX,Rhythmic Gymnastics
65,1535363,HERNANDEZ Emiliano,MEX,Modern Pentathlon
66,1535364,CARRILLO Duilio,MEX,Modern Pentathlon
67,1535365,OLIVER Mayan,MEX,Modern Pentathlon
68,1535366,SANSORES Carlos,MEX,Taekwondo
69,1535367,SOUZA Daniela Paola,MEX,Taekwondo
