,code_athlete,name,country_code,country,discipline,medal_type
0,1532872,ALEKSANYAN Artur,ARM,Armenia,Wrestling,Silver
1,1532873,AMOYAN Malkhas,ARM,Armenia,Wrestling,Bronze
2,1532874,GALSTYAN Slavik,ARM,Armenia,Wrestling,
3,1532944,HARUTYUNYAN Arsen,ARM,Armenia,Wrestling,
4,1532945,TEVANYAN Vazgen,ARM,Armenia,Wrestling,
5,1532951,ARENAS Lorena,COL,Colombia,Athletics,
6,1533112,McKENZIE Ashley,JAM,Jamaica,Judo,
7,1533136,BASS BITTAYE Gina Mariam,GAM,Gambia,Athletics,
8,1533176,CAMARA Ebrahima,GAM,Gambia,Athletics,
9,1533188,RUEDA SANTOS Lizeth,MEX,Mexico,Triathlon,
10,1533189,TAPIA VIDAL Rosa Maria,MEX,Mexico,Triathlon,
11,1533190,GRAJALES Crisanto,MEX,Mexico,Triathlon,
12,1533208,MAAROUFOU Hachim,COM,Comoros,Athletics,
13,1533209,SAADI Maesha,COM,Comoros,Swimming,
14,1533230,DIOSDADO Nuria,MEX,Mexico,Artistic Swimming,
15,1533231,JIMENEZ Joana,MEX,Mexico,Artistic Swimming,
16,1533232,SOBRINO Jessica,MEX,Mexico,Artistic Swimming,
17,1533234,ALFEREZ Regina,MEX,Mexico,Artistic Swimming,
18,1533235,ARELLANO Fernanda,MEX,Mexico,Artistic Swimming,
19,1533237,TOSCANO Pamela,MEX,Mexico,Artistic Swimming,
20,1533239,GONZALEZ Itzamary,MEX,Mexico,Artistic Swimming,
21,1533240,RODRIGUEZ Samanta,MEX,Mexico,Artistic Swimming,
22,1533243,INZUNZA Glenda,MEX,Mexico,Artistic Swimming,
23,1533245,SEHEN Sajjad,IRQ,Iraq,Judo,
24,1533359,RUBAIAWI Ali Ammar Yusur,IRQ,Iraq,Weightlifting,
25,1533364,ISMAIL Mohamed,DJI,Djibouti,Athletics,
26,1533371,HASSAN Ibrahim,DJI,Djibouti,Athletics,
27,1533372,WAISS Abdi,DJI,Djibouti,Athletics,
28,1533374,HASSAN NOUR Samiyah,DJI,Djibouti,Athletics,
29,1533378,HOUSSEIN BARKAT Houmed,DJI,Djibouti,Swimming,
30,1535180,BARAT Andy,COM,Comoros,Canoe Slalom,
31,1535186,MARTINEZ RAMIREZ Miguel Angel,MEX,Mexico,Boxing,
32,1535187,VERDE ALVAREZ Marco Alonso,MEX,Mexico,Boxing,Silver
33,1535191,GONZALEZ Alegna,MEX,Mexico,Athletics,
34,1535195,LOPEZ Jesus Tonatiu,MEX,Mexico,Athletics,
35,1535199,PORTILLO Erick,MEX,Mexico,Athletics,
36,1535201,MUNOZ Uziel,MEX,Mexico,Athletics,
37,1535202,del REAL Diego,MEX,Mexico,Athletics,
38,1535203,DOCTOR Jose Luis,MEX,Mexico,Athletics,
39,1535212,MORAN Paola,MEX,Mexico,Athletics,
40,1535214,GALVAN Laura,MEX,Mexico,Athletics,
41,1535216,CORTES Alma Delia,MEX,Mexico,Athletics,
42,1535217,CRISTIAN MOSCOTE Citlali,MEX,Mexico,Athletics,
43,1535222,PALMA OLIVARES Ever Jair,MEX,Mexico,Athletics,
44,1535225,OETLING RAMIREZ Elena,MEX,Mexico,Sailing,
45,1535226,AGUILAR CHAVEZ PEON Mariana,MEX,Mexico,Sailing,
46,1535252,LECHUGA ALANIS Kenia,MEX,Mexico,Rowing,
47,1535260,LOPEZ GARCIA Alexis,MEX,Mexico,Rowing,
48,1535267,CARBALLO NIETO Miguel,MEX,Mexico,Rowing,
49,1535310,BLANCO Luisa,COL,Colombia,Artistic Gymnastics,
50,1535343,WILLARS VALDEZ Randal,MEX,Mexico,Diving,
51,1535345,BERLIN REYES Kevin,MEX,Mexico,Diving,
52,1535346,OROZCO LOZA Alejandra,MEX,Mexico,Diving,
53,1535348,AGUNDEZ GARCIA Gabriela,MEX,Mexico,Diving,
54,1535349,OLVERA IBARRA Osmar,MEX,Mexico,Diving,Bronze
55,1535349,OLVERA IBARRA Osmar,MEX,Mexico,Diving,Silver
56,1535350,GARZA PEREZ Eugenio,MEX,Mexico,Equestrian,
57,1535351,FERNANDEZ Federico,MEX,Mexico,Equestrian,
58,1535354,de LARA OJEDA Miguel Alejandro,MEX,Mexico,Swimming,
59,1535356,MORENO Alexa,MEX,Mexico,Artistic Gymnastics,
60,1535357,SANDOVAL Ahtziri,MEX,Mexico,Artistic Gymnastics,
61,1535358,FLORES Sofia,MEX,Mexico,Rhythmic Gymnastics,
62,1535359,SALAZAR Kimberly,MEX,Mexico,Rhythmic Gymnastics,
63,1535360,TEJEDA Adirem,MEX,Mexico,Rhythmic Gymnastics,
64,1535361,ALCOCER Dalia,MEX,Mexico,Rhythmic Gymnastics,
65,1535362,GUTIERREZ Julia,MEX,Mexico,Rhythmic Gymnastics,
66,1535363,HERNANDEZ Emiliano,MEX,Mexico,Modern Pentathlon,
67,1535364,CARRILLO Duilio,MEX,Mexico,Modern Pentathlon,
68,1535365,OLIVER Mayan,MEX,Mexico,Modern Pentathlon,
69,1535366,SANSORES Carlos,MEX,Mexico,Taekwondo,
70,1535367,SOUZA Daniela Paola,MEX,Mexico,Taekwondo,
71,1535368,CLELAND QUINONEZ Alan,MEX,Mexico,Surfing,
72,1535373,GRIGORIAN Aram,UAE,UA Emirates,Judo,
73,1535374,KOSTOEV Dzhafar,UAE,UA Emirates,Judo,
74,1535375,MAGOMEDOMAROV Magomedomar,UAE,UA Emirates,Judo,
75,1535376,TATALASHVILI Nugzari,UAE,UA Emirates,Judo,
76,1535383,BISHRELT Khorloodoi,UAE,UA Emirates,Judo,
77,1535385,HOUSSEIN Alexandre,DJI,Djibouti,Judo,
78,1535395,AL SAYEGH Safia,UAE,UA Emirates,Cycling Road,
79,1535420,VALENCIA Alejandra,MEX,Mexico,Archery,Bronze
80,1535429,RUIZ Angela,MEX,Mexico,Archery,Bronze
81,1535430,GRANDE Matias,MEX,Mexico,Archery,
82,1535433,PRIETO Marcela,MEX,Mexico,Cycling Road,
83,1535438,RAMIREZ RAMOS Edson Ismael,MEX,Mexico,Shooting,
84,1535439,RODRIGUEZ Gabriela,MEX,Mexico,Shooting,
85,1535440,ZAVALA VAZQUEZ Alejandra,MEX,Mexico,Shooting,
86,1535441,QUEZADA MARQUEZ Carlos,MEX,Mexico,Shooting,
87,1535442,PENAFLOR MOYSEN Aram Michell,MEX,Mexico,Triathlon,
88,1535444,REINOSO Sofia,MEX,Mexico,Canoe Slalom,
89,1535448,BRIONES FRAGOZA Beatriz,MEX,Mexico,Canoe Sprint,
90,1535449,ALANIS MORALES Karina,MEX,Mexico,Canoe Sprint,
91,1535505,LINARES Natalia,COL,Colombia,Athletics,
92,1535506,LONGA Ronal,COL,Colombia,Athletics,
93,1535511,RUIZ HURTADO Flor Denis,COL,Colombia,Athletics,
94,1535512,ORJUELA Angie,COL,Colombia,Athletics,
95,1535513,RENTERIA RENTERIA Tatiana,COL,Colombia,Wrestling,Bronze
96,1535514,VALDES PANA Angie Paola,COL,Colombia,Boxing,
97,1535522,ARBOLEDA MENDOZA Valeria,COL,Colombia,Boxing,
98,1535524,BOLANOS LOPEZ Victor,COL,Colombia,Sailing,
99,1535609,ABDOLI Samyar,IRI,IR Iran,Swimming,
100,1535660,SIMWAKA Asimenye,MAW,Malawi,Athletics,
101,1535693,AL MARZOOQI Omar Abdul Aziz,UAE,UA Emirates,Equestrian,
102,1535729,SERRANO Franco,ARG,Argentina,Modern Pentathlon,
103,1535766,KUMEL SAADI,IRQ,Iraq,Football,
104,1535776,JOSEF AL IMAM,IRQ,Iraq,Football,
105,1535804,MUNTADHER ABDULAMEER,IRQ,Iraq,Football,
106,1535805,MUNTADHER MOHAMMED,IRQ,Iraq,Football,
107,1535852,MAEDER Maximilian,SGP,Singapore,Sailing,Bronze
108,1535853,LO Ryan,SGP,Singapore,Sailing,
109,1535854,SIM En Yi Letitia,SGP,Singapore,Swimming,
110,1535856,TAN Jonathan Eu Jin,SGP,Singapore,Swimming,
111,1535858,PEREIRA Veronica Shanti,SGP,Singapore,Athletics,
112,1535910,ZAID TAHSEEN,IRQ,Iraq,Football,
113,1535913,HUSSEIN AMER,IRQ,Iraq,Football,
114,1535914,ANAK LISES Bertrand Rhodict,MAS,Malaysia,Diving,
115,1535916,HUSSEIN LAWEND,IRQ,Iraq,Football,
116,1535918,WONG Guanjie Johnathan,MAS,Malaysia,Shooting,
117,1535925,MOHAMAD ZUBIR Nur Aisyah,MAS,Malaysia,Cycling Road,
