,medal_type,country_code,discipline,code_athlete
0,Gold,BEL,Cycling Road,1903136
1,Silver,ITA,Cycling Road,1923520
2,Bronze,BEL,Cycling Road,1903147
3,Gold,AUS,Cycling Road,1940173
4,Silver,GBR,Cycling Road,1912525
5,Bronze,USA,Cycling Road,1955079
6,Gold,KOR,Fencing,1927149
7,Silver,TUN,Fencing,1937783
8,Bronze,ITA,Fencing,1924595
9,Gold,HKG,Fencing,1963262
10,Silver,FRA,Fencing,1916183
11,Bronze,HUN,Fencing,1946375
12,Gold,KAZ,Judo,1935408
13,Silver,FRA,Judo,1891304
14,Bronze,JPN,Judo,1896752
15,Bronze,ESP,Judo,1563544
16,Gold,JPN,Judo,1896735
17,Silver,MGL,Judo,1914467
18,Bronze,FRA,Judo,1891280
19,Bronze,SWE,Judo,1571911
20,Gold,GER,Swimming,1907192
21,Silver,AUS,Swimming,1946172
22,Bronze,KOR,Swimming,4654306
23,Gold,AUS,Swimming,1946150
24,Silver,CAN,Swimming,1967140
25,Bronze,USA,Swimming,1935938
26,Gold,AUS,Canoe Slalom,1940205
27,Silver,POL,Canoe Slalom,1942126
28,Bronze,GBR,Canoe Slalom,1896045
29,Gold,FRA,Cycling Mountain Bike,1895672
30,Silver,USA,Cycling Mountain Bike,1955070
31,Bronze,SWE,Cycling Mountain Bike,1564023
32,Gold,JPN,Fencing,1896548
33,Silver,FRA,Fencing,1916194
34,Bronze,EGY,Fencing,1936462
35,Gold,USA,Fencing,1950611
36,Silver,USA,Fencing,1950643
37,Bronze,CAN,Fencing,1973213
38,Gold,JPN,Judo,1896763
39,Silver,BRA,Judo,1953840
40,Bronze,KAZ,Judo,1935410
41,Bronze,MDA,Judo,1561138
42,Gold,UZB,Judo,1566997
43,Silver,KOS,Judo,1550162
44,Bronze,BRA,Judo,1953817
45,Bronze,FRA,Judo,1891283
46,Gold,CHN,Shooting,1913907
47,Silver,ITA,Shooting,1551388
48,Bronze,ITA,Shooting,1551387
49,Gold,KOR,Shooting,1893972
50,Silver,KOR,Shooting,1893930
51,Bronze,IND,Shooting,1538159
52,Gold,JPN,Skateboarding,1902055
53,Silver,JPN,Skateboarding,1902069
54,Bronze,BRA,Skateboarding,1955689
55,Gold,ITA,Swimming,1925633
56,Silver,GBR,Swimming,1956469
57,Silver,USA,Swimming,1935901
58,Gold,FRA,Swimming,1909294
59,Silver,JPN,Swimming,1963635
60,Bronze,USA,Swimming,1935903
61,Gold,USA,Swimming,1935923
62,Silver,USA,Swimming,1935998
63,Bronze,CHN,Swimming,1945125
64,Gold,FRA,Canoe Slalom,1880479
65,Silver,GBR,Canoe Slalom,1896030
66,Bronze,SVK,Canoe Slalom,1961080
67,Gold,GBR,Cycling Mountain Bike,1912546
68,Silver,FRA,Cycling Mountain Bike,1895687
69,Bronze,RSA,Cycling Mountain Bike,1943604
70,Gold,GER,Equestrian,1914921
71,Silver,AUS,Equestrian,1940438
72,Bronze,GBR,Equestrian,1970898
73,Gold,HKG,Fencing,1963245
74,Silver,ITA,Fencing,1924289
75,Bronze,USA,Fencing,1950602
76,Gold,FRA,Fencing,1916223
77,Silver,FRA,Fencing,1916222
78,Bronze,UKR,Fencing,1897644
79,Gold,AZE,Judo,1972337
80,Silver,FRA,Judo,1891311
81,Bronze,MDA,Judo,1563437
82,Bronze,JPN,Judo,1896740
83,Gold,CAN,Judo,1955526
84,Silver,KOR,Judo,1928067
85,Bronze,JPN,Judo,1896733
86,Bronze,FRA,Judo,1891286
87,Gold,CHN,Shooting,1913899
88,Silver,SWE,Shooting,1572919
89,Bronze,CRO,Shooting,1888047
90,Gold,KOR,Shooting,1893845
91,Silver,CHN,Shooting,1913945
92,Bronze,SUI,Shooting,1976545
93,Gold,JPN,Skateboarding,1902081
94,Silver,USA,Skateboarding,1944226
95,Bronze,USA,Skateboarding,1944232
96,Gold,ITA,Swimming,1925635
97,Silver,CHN,Swimming,1945132
98,Bronze,USA,Swimming,1935957
99,Gold,ROU,Swimming,1543549
100,Silver,GBR,Swimming,1903617
101,Bronze,USA,Swimming,1935918
102,Gold,RSA,Swimming,1962589
103,Silver,CHN,Swimming,1945200
104,Bronze,IRL,Swimming,1543304
105,Gold,AUS,Swimming,1946218
106,Silver,AUS,Swimming,1946150
107,Bronze,HKG,Swimming,1925125
108,Gold,CAN,Swimming,1967140
109,Silver,USA,Swimming,1935909
110,Bronze,USA,Swimming,1936001
111,Gold,JPN,Judo,1896765
112,Silver,GEO,Judo,1546651
113,Bronze,KOR,Judo,1928079
114,Bronze,TJK,Judo,1570561
115,Gold,SLO,Judo,1980833
116,Silver,MEX,Judo,1537287
117,Bronze,FRA,Judo,1891289
118,Bronze,KOS,Judo,1550167
119,Gold,GBR,Shooting,1904430
120,Silver,CHN,Shooting,1913928
121,Bronze,GUA,Shooting,1958970
122,Gold,IRL,Swimming,1539969
123,Silver,USA,Swimming,1935902
124,Bronze,ITA,Swimming,1925630
125,Gold,AUS,Swimming,1946198
126,Silver,USA,Swimming,1935984
127,Bronze,USA,Swimming,1935873
128,Gold,JPN,Artistic Gymnastics,1919480
129,Silver,CHN,Artistic Gymnastics,1918864
130,Bronze,CHN,Artistic Gymnastics,1918860
131,Gold,AUS,Canoe Slalom,1940205
132,Silver,GER,Canoe Slalom,1913770
133,Bronze,USA,Canoe Slalom,1955132
134,Gold,ARG,Cycling BMX Freestyle,1916809
135,Silver,GBR,Cycling BMX Freestyle,1912548
136,Bronze,FRA,Cycling BMX Freestyle,1895685
137,Gold,CHN,Cycling BMX Freestyle,1920569
138,Silver,USA,Cycling BMX Freestyle,1955071
139,Bronze,AUS,Cycling BMX Freestyle,1940118
140,Gold,GEO,Judo,1548817
141,Silver,JPN,Judo,1896750
142,Bronze,FRA,Judo,1891318
143,Bronze,GRE,Judo,1961318
144,Gold,CRO,Judo,1898499
145,Silver,GER,Judo,1563082
146,Bronze,AUT,Judo,1566421
147,Bronze,BEL,Judo,1903248
148,Gold,GUA,Shooting,1958899
149,Silver,ITA,Shooting,1915317
150,Bronze,AUS,Shooting,1967454
151,Gold,CHN,Swimming,1945148
152,Silver,AUS,Swimming,1946200
153,Bronze,ROU,Swimming,1543549
154,Gold,FRA,Swimming,1909294
155,Silver,AUS,Swimming,1946185
156,Bronze,NED,Swimming,1972545
157,Gold,FRA,Swimming,1909294
158,Silver,HUN,Swimming,1905860
159,Bronze,CAN,Swimming,1967058
160,Gold,SWE,Swimming,1572557
161,Silver,USA,Swimming,1935923
162,Bronze,HKG,Swimming,1925125
163,Gold,USA,Swimming,1935938
164,Silver,FRA,Swimming,1909209
165,Bronze,GER,Swimming,1907171
166,Gold,GBR,Triathlon,1904251
167,Silver,NZL,Triathlon,1926549
168,Bronze,FRA,Triathlon,1543967
169,Gold,FRA,Triathlon,1543963
170,Silver,SUI,Triathlon,1976489
171,Bronze,GBR,Triathlon,1904244
172,Gold,USA,Artistic Gymnastics,1959861
173,Silver,BRA,Artistic Gymnastics,1953634
